severity,label,volume_mm3,delta_mm3,pct_change
mild,CA1,459.721,-230.336,-33.38
mild,subiculum,607.167,-289.99,-32.32
mild,lbl3,62.033,-30.029,-32.62
mild,lbl4,112.022,-38.022,-25.34
mild,DG,115.441,-22.977,-16.6
mild,lbl6,125.084,-30.796,-19.76
mild,SRLM,582.183,6.428,1.12
mild,cyst,17.704,5.349,43.3
mild,cortex,1481.468,-642.149,-30.24
medium,CA1,341.826,-348.231,-50.46
medium,subiculum,497.295,-399.862,-44.57
medium,lbl3,40.636,-51.425,-55.86
medium,lbl4,70.68,-79.364,-52.89
medium,DG,88.156,-50.263,-36.31
medium,lbl6,90.306,-65.574,-42.07
medium,SRLM,396.822,-178.933,-31.08
medium,cyst,36.943,24.588,199.02
medium,cortex,1128.898,-994.719,-46.84
strong,CA1,152.947,-537.11,-77.84
strong,subiculum,273.616,-623.541,-69.5
strong,lbl3,24.208,-67.853,-73.7
strong,lbl4,42.148,-107.896,-71.91
strong,DG,63.271,-75.147,-54.29
strong,lbl6,60.065,-95.815,-61.47
strong,SRLM,243.238,-332.518,-57.75
strong,cyst,55.46,43.105,348.89
strong,cortex,616.254,-1507.363,-70.98
