severity,label,volume_mm3,delta_mm3,pct_change
mild,CA1,676.357,-13.7,-1.99
mild,subiculum,885.888,-11.268,-1.26
mild,lbl3,84.782,-7.279,-7.91
mild,lbl4,137.986,-12.059,-8.04
mild,DG,127.895,-10.524,-7.6
mild,lbl6,148.182,-7.697,-4.94
mild,SRLM,556.418,-19.338,-3.36
mild,cortex,2061.091,-62.527,-2.94
medium,CA1,616.961,-73.096,-10.59
medium,subiculum,850.336,-46.821,-5.22
medium,lbl3,77.419,-14.642,-15.9
medium,lbl4,126.504,-23.54,-15.69
medium,DG,117.113,-21.306,-15.39
medium,lbl6,135.159,-20.721,-13.29
medium,SRLM,512.249,-63.507,-11.03
medium,cortex,1923.493,-200.125,-9.42
strong,CA1,553.523,-136.534,-19.79
strong,subiculum,801.79,-95.367,-10.63
strong,lbl3,72.427,-19.634,-21.33
strong,lbl4,118.617,-31.427,-20.94
strong,DG,109.127,-29.292,-21.16
strong,lbl6,124.939,-30.94,-19.85
strong,SRLM,468.231,-107.524,-18.68
strong,cortex,1780.424,-343.193,-16.16
